№          Добавленное число              Время работы в наносекундах    Количество итераций
1          8983                           4882700                        3         
2          -7019                          8121300                        3         
3          -5518                          4100                           3         
4          -4170                          4300                           3         
5          -1526                          4000                           5         
6          7764                           5300                           5         
7          -871                           5200                           5         
8          1828                           7000                           5         
9          2384                           4700                           7         
10         9327                           4300                           7         
11         3528                           5400                           7         
12         8363                           6300                           7         
13         -7253                          4700                           7         
14         8869                           6200                           7         
15         -7517                          5000                           7         
16         -8950                          4800                           7         
17         6246                           4800                           7         
18         4618                           5500                           7         
19         -2991                          4600                           7         
20         -336                           4700                           7         
21         6467                           8500                           7         
22         8501                           6600                           7         
23         2322                           7000                           7         
24         -3162                          16100                          9         
25         -7267                          4900                           9         
26         -5182                          4400                           9         
27         -855                           4400                           9         
28         9989                           4800                           9         
29         9762                           5000                           9         
30         8411                           4000                           9         
31         5385                           4700                           9         
32         -6498                          5700                           9         
33         1999                           4600                           9         
34         -937                           4200                           9         
35         5328                           5100                           9         
36         -9773                          4300                           9         
37         -8176                          4700                           9         
38         8657                           4500                           9         
39         9031                           4300                           9         
40         -5928                          4100                           9         
41         1837                           5100                           9         
42         8243                           5000                           9         
43         5961                           6100                           9         
44         8697                           6500                           11        
45         7969                           4600                           11        
46         3121                           4400                           11        
47         -6223                          5100                           11        
48         -8667                          4200                           11        
49         2346                           4700                           11        
50         -4078                          4300                           11        
51         5661                           4200                           11        
52         5191                           5100                           11        
53         2742                           5000                           11        
54         -72                            5500                           11        
55         -2203                          5300                           11        
56         -759                           7000                           11        
57         8850                           6100                           11        
58         7943                           5200                           11        
59         -7701                          5200                           11        
60         9780                           4900                           11        
61         -5299                          4700                           11        
62         5575                           5000                           11        
63         353                            14400                          11        
64         -5204                          7800                           11        
65         1269                           4400                           11        
66         -7940                          7900                           11        
67         -4690                          4700                           11        
68         9028                           4800                           11        
69         -6346                          3800                           11        
70         -3371                          6600                           11        
71         6110                           5300                           11        
72         5459                           3700                           11        
73         -6871                          13200                          11        
74         -6116                          3500                           11        
75         -2254                          3400                           11        
76         7129                           3500                           11        
77         6011                           4300                           11        
78         7777                           3400                           11        
79         -2728                          3900                           11        
80         -7814                          3300                           11        
81         8432                           3300                           11        
82         -9479                          5000                           11        
83         -8505                          4000                           11        
84         -5401                          3200                           11        
85         8973                           3800                           11        
86         -9887                          3000                           11        
87         5516                           3700                           11        
88         3141                           3400                           11        
89         -416                           6900                           11        
90         -1814                          3100                           11        
91         -9838                          3900                           11        
92         2054                           3900                           11        
93         -761                           5700                           11        
94         -1571                          4100                           11        
95         663                            4200                           11        
96         -1788                          4000                           11        
97         -5430                          4400                           11        
98         -4844                          4300                           11        
99         -984                           3400                           11        
100        1698                           4800                           11        
101        6958                           3800                           11        
102        -8609                          3800                           11        
103        -1960                          3300                           11        
104        9341                           3700                           11        
105        6606                           3200                           11        
106        6359                           4600                           11        
107        6501                           3500                           11        
108        4056                           4000                           11        
109        -9371                          3300                           11        
110        -6605                          3400                           11        
111        -8518                          3200                           11        
112        6817                           3900                           11        
113        4450                           3200                           11        
114        961                            3200                           11        
115        6737                           3300                           11        
116        2559                           3300                           11        
117        -6381                          3300                           11        
118        -8055                          4400                           11        
119        3947                           3600                           11        
120        6554                           3900                           11        
121        6573                           4100                           11        
122        -760                           3800                           11        
123        7468                           3200                           11        
124        3553                           5200                           11        
125        8048                           3400                           11        
126        9377                           5900                           11        
127        -7326                          3500                           13        
128        -1539                          6200                           13        
129        7419                           4200                           13        
130        -9889                          3400                           13        
131        2916                           3700                           13        
132        4299                           3400                           13        
133        -3282                          3200                           13        
134        -7239                          3500                           13        
135        -9161                          3600                           13        
136        973                            4700                           13        
137        8923                           5000                           13        
138        5616                           6000                           13        
139        -4002                          4900                           13        
140        6557                           4800                           13        
141        8775                           4800                           13        
142        -9205                          6200                           13        
143        -7314                          4100                           13        
144        -8162                          3000                           13        
145        -4481                          3500                           13        
146        3694                           5200                           13        
147        -661                           3500                           13        
148        -1674                          3500                           13        
149        9856                           4100                           13        
150        -8450                          3700                           13        
151        -5943                          4900                           13        
152        -9808                          4700                           13        
153        -4179                          3700                           13        
154        -4417                          3500                           13        
155        9563                           3200                           13        
156        1306                           3600                           13        
157        -7635                          3100                           13        
158        -145                           3500                           13        
159        5288                           7400                           13        
160        -9930                          3100                           13        
161        -811                           3400                           13        
162        -838                           4100                           13        
163        -5704                          3300                           13        
164        6695                           5500                           13        
165        -3375                          4000                           13        
166        -1818                          37900                          13        
167        -1568                          5800                           13        
168        -9639                          2100                           13        
169        391                            1900                           13        
170        4575                           12800                          13        
171        -3678                          1700                           13        
172        6849                           1700                           13        
173        -1407                          14800                          13        
174        -161                           1800                           13        
175        -4263                          8000                           13        
176        -8663                          2100                           13        
177        -9458                          1600                           13        
178        3463                           2200                           13        
179        4390                           1500                           13        
180        -4571                          1500                           13        
181        4834                           1400                           13        
182        8314                           8500                           13        
183        -8640                          1700                           13        
184        -7196                          1900                           13        
185        -2458                          1600                           13        
186        -1880                          4000                           13        
187        5073                           1500                           13        
188        -6417                          2500                           13        
189        478                            2600                           13        
190        1587                           2600                           13        
191        3255                           1500                           13        
192        -6033                          2500                           13        
193        4217                           1800                           13        
194        -8091                          1600                           13        
195        -4834                          1500                           13        
196        4765                           1400                           13        
197        834                            1300                           13        
198        5237                           1200                           13        
199        -2807                          10300                          13        
200        81                             1300                           13        
201        -2649                          1600                           13        
202        7281                           1900                           13        
203        -940                           1200                           13        
204        5742                           1800                           13        
205        2392                           1300                           13        
206        3188                           1500                           13        
207        9853                           2900                           13        
208        5975                           2000                           13        
209        5820                           4400                           13        
210        2703                           1300                           13        
211        560                            2500                           13        
212        6390                           1300                           13        
213        -6100                          1900                           13        
214        -96                            1400                           13        
215        2974                           1200                           13        
216        -8491                          1300                           13        
217        -8958                          1400                           13        
218        4821                           1500                           13        
219        3585                           1400                           13        
220        -4152                          1500                           13        
221        -6775                          1600                           13        
222        -7132                          1700                           13        
223        5468                           1200                           13        
224        9061                           1800                           13        
225        -2075                          1200                           13        
226        -2783                          1100                           13        
227        1201                           1400                           13        
228        -2397                          2400                           13        
229        698                            1100                           13        
230        -822                           1100                           13        
231        5495                           1400                           13        
232        8124                           1500                           13        
233        -466                           1400                           13        
234        -7952                          1200                           13        
235        -2531                          1200                           13        
236        1098                           1200                           13        
237        4651                           1500                           13        
238        5081                           1300                           13        
239        -569                           1300                           13        
240        7058                           1300                           13        
241        -6330                          1100                           13        
242        -4068                          1300                           13        
243        -8486                          1200                           13        
244        2433                           1600                           13        
