Номер удаленного элемента      Удаленное число                Время работы в наносекундах    Количество итераций
1                              9229                           13900                          12                            
2                              7757                           900                            12                            
3                              7108                           1300                           12                            
4                              7555                           1000                           12                            
5                              167                            17600                          23                            
6                              9843                           10100                          23                            
7                              3989                           1000                           12                            
8                              3881                           6800                           23                            
9                              1004                           6600                           23                            
10                             6499                           7600                           23                            
11                             5512                           900                            12                            
12                             153                            3800                           23                            
13                             6122                           600                            12                            
14                             5409                           600                            12                            
15                             2688                           1000                           12                            
16                             3640                           4200                           23                            
17                             1764                           1000                           12                            
18                             6744                           5300                           23                            
19                             6060                           5500                           23                            
20                             6864                           3400                           23                            
21                             6127                           400                            12                            
22                             6941                           6500                           23                            
23                             2958                           7100                           23                            
24                             9484                           900                            12                            
25                             7840                           10700                          23                            
26                             8813                           1100                           12                            
27                             4715                           9400                           23                            
28                             7222                           900                            12                            
29                             2251                           1300                           12                            
30                             7511                           1300                           12                            
31                             1478                           8400                           23                            
32                             8211                           3900                           23                            
33                             2635                           600                            12                            
34                             8778                           3500                           23                            
35                             4153                           1200                           12                            
36                             5910                           4500                           23                            
37                             3676                           900                            12                            
38                             8666                           1100                           12                            
39                             4085                           6000                           23                            
40                             6169                           700                            12                            
41                             7077                           800                            12                            
42                             1285                           11000                          23                            
43                             8365                           1900                           12                            
44                             5699                           1300                           12                            
45                             5533                           900                            12                            
46                             4346                           9200                           23                            
47                             5497                           5300                           23                            
48                             8134                           8900                           23                            
49                             9337                           500                            12                            
50                             1116                           1900                           12                            
51                             8940                           800                            12                            
52                             4153                           500                            12                            
53                             2074                           1000                           12                            
54                             9739                           1400                           12                            
55                             8809                           1400                           12                            
56                             1612                           1400                           12                            
57                             4785                           15200                          23                            
58                             1996                           7200                           23                            
59                             47                             800                            12                            
60                             2839                           1200                           12                            
61                             7005                           900                            12                            
62                             5035                           2900                           23                            
63                             3524                           500                            12                            
64                             6188                           3400                           23                            
65                             625                            600                            12                            
66                             2820                           400                            12                            
67                             1849                           200                            12                            
68                             430                            4300                           23                            
69                             6799                           500                            12                            
70                             5014                           400                            12                            
71                             2625                           400                            12                            
72                             1427                           3300                           23                            
73                             1857                           300                            12                            
74                             4804                           2600                           23                            
75                             5150                           3100                           23                            
76                             3362                           500                            12                            
77                             4008                           3200                           23                            
78                             137                            500                            12                            
79                             2884                           3000                           23                            
80                             6886                           800                            12                            
81                             7572                           700                            12                            
82                             5148                           500                            12                            
83                             1119                           4300                           23                            
84                             640                            500                            12                            
85                             1693                           800                            12                            
86                             4759                           500                            12                            
87                             3668                           400                            12                            
88                             3625                           400                            12                            
89                             9169                           1200                           12                            
90                             5277                           5900                           23                            
91                             3648                           300                            12                            
92                             919                            600                            12                            
93                             1473                           3800                           23                            
94                             3249                           4400                           23                            
95                             3136                           600                            12                            
96                             5209                           300                            12                            
97                             4473                           4900                           23                            
98                             4478                           300                            12                            
99                             4726                           600                            12                            
100                            4053                           300                            12                            
101                            613                            4100                           23                            
102                            4349                           2900                           23                            
103                            2619                           3600                           23                            
104                            2762                           2800                           23                            
105                            4493                           300                            12                            
106                            1982                           6100                           23                            
107                            3914                           3900                           23                            
108                            274                            4000                           23                            
109                            5825                           5500                           23                            
110                            9713                           4900                           23                            
111                            2813                           2200                           23                            
112                            7313                           1800                           12                            
113                            2312                           1100                           12                            
114                            3124                           500                            12                            
115                            7423                           1500                           12                            
116                            3065                           700                            12                            
117                            4725                           300                            12                            
118                            2784                           2000                           23                            
119                            7591                           700                            12                            
120                            8598                           700                            12                            
121                            4719                           300                            12                            
122                            7994                           4400                           23                            
123                            4126                           1100                           12                            
124                            5680                           800                            12                            
125                            6633                           1900                           12                            
126                            6672                           4100                           23                            
127                            4285                           500                            12                            
128                            8809                           1300                           12                            
129                            1915                           4000                           23                            
130                            3093                           700                            12                            
131                            7169                           3900                           23                            
132                            1200                           3800                           23                            
133                            9597                           1200                           12                            
134                            5338                           3900                           23                            
135                            457                            1000                           12                            
136                            5106                           1200                           12                            
137                            555                            3900                           23                            
138                            8384                           800                            12                            
139                            5236                           700                            12                            
140                            459                            300                            12                            
141                            384                            3300                           23                            
142                            9262                           4100                           23                            
143                            1970                           300                            12                            
144                            5020                           1100                           12                            
145                            577                            600                            12                            
146                            7638                           3500                           23                            
147                            5992                           3400                           23                            
148                            4794                           1000                           12                            
149                            7322                           1400                           12                            
150                            5597                           9100                           23                            
151                            7524                           3400                           23                            
152                            3188                           4900                           23                            
153                            6379                           4700                           23                            
154                            7096                           800                            12                            
155                            1084                           600                            12                            
156                            1588                           600                            12                            
157                            1756                           1900                           12                            
158                            9446                           700                            12                            
159                            8234                           500                            12                            
160                            8248                           5600                           23                            
161                            7271                           1400                           12                            
162                            5916                           1000                           12                            
163                            428                            2900                           23                            
164                            3430                           900                            12                            
165                            8346                           800                            12                            
166                            1205                           300                            12                            
167                            2998                           5100                           23                            
168                            4105                           900                            12                            
169                            2726                           300                            12                            
170                            9814                           5600                           23                            
171                            9811                           300                            12                            
172                            6585                           900                            12                            
173                            8142                           6200                           23                            
174                            609                            3700                           23                            
175                            3527                           3000                           23                            
176                            8108                           700                            12                            
177                            2489                           600                            12                            
178                            4816                           900                            12                            
179                            5855                           600                            12                            
180                            3081                           500                            12                            
181                            9100                           1300                           12                            
182                            8588                           4700                           23                            
183                            5485                           2700                           23                            
184                            7171                           900                            12                            
185                            3296                           700                            12                            
186                            7333                           1000                           12                            
187                            3799                           3800                           23                            
188                            5668                           500                            12                            
189                            1352                           1900                           12                            
190                            3497                           4400                           23                            
191                            2933                           1000                           12                            
192                            8010                           4000                           23                            
193                            5171                           4200                           23                            
194                            4417                           500                            12                            
195                            1564                           3300                           23                            
196                            8410                           2900                           23                            
197                            9013                           800                            12                            
198                            3110                           800                            12                            
199                            7578                           5000                           23                            
200                            7304                           400                            12                            
201                            4975                           1000                           12                            
202                            3539                           7000                           23                            
203                            8733                           5100                           23                            
204                            4534                           5100                           23                            
205                            760                            900                            12                            
206                            409                            5500                           23                            
207                            7638                           900                            12                            
208                            4692                           600                            12                            
209                            5606                           800                            12                            
210                            957                            300                            12                            
211                            7967                           1500                           12                            
212                            8649                           800                            12                            
213                            2922                           3500                           23                            
214                            5762                           700                            12                            
215                            9530                           5000                           23                            
216                            7015                           900                            12                            
217                            3199                           3400                           23                            
218                            4326                           3800                           23                            
