Номер разыскиваемого элемента  Добавленное число              Время работы в наносекундах    Количество итераций
1                              -9679                          32100                          12                            
2                              196                            13300                          12                            
3                              7524                           15800                          12                            
4                              -7638                          4100                           12                            
5                              -3014                          2900                           12                            
6                              355                            2300                           12                            
7                              -524                           2400                           12                            
8                              5261                           3800                           12                            
9                              2896                           2700                           12                            
10                             -9118                          2400                           12                            
11                             9926                           2400                           12                            
12                             2981                           2200                           12                            
13                             6810                           2300                           12                            
14                             5338                           3800                           12                            
15                             5911                           2100                           12                            
16                             9242                           2500                           12                            
17                             -2876                          3100                           12                            
18                             -967                           2600                           12                            
19                             2525                           2200                           12                            
20                             -6568                          5300                           12                            
21                             -7781                          3000                           12                            
22                             5580                           29700                          12                            
23                             -1508                          8200                           12                            
24                             938                            1700                           12                            
25                             649                            3500                           12                            
26                             -9890                          2100                           12                            
27                             7750                           1000                           12                            
28                             -6018                          1100                           12                            
29                             5895                           600                            12                            
30                             7371                           1500                           12                            
31                             -7472                          1300                           12                            
32                             1555                           1800                           12                            
33                             -8275                          1600                           12                            
34                             -173                           1400                           12                            
35                             -4611                          3400                           12                            
36                             -4198                          800                            12                            
37                             -5498                          1300                           12                            
38                             9162                           1200                           12                            
39                             -4717                          800                            12                            
40                             -8816                          1300                           12                            
41                             4522                           1500                           12                            
42                             -9083                          700                            12                            
43                             -3126                          700                            12                            
44                             -3872                          1200                           12                            
45                             6285                           1100                           12                            
46                             -6805                          700                            12                            
47                             -9628                          1100                           12                            
48                             -2345                          1500                           12                            
49                             2899                           400                            12                            
50                             -7071                          600                            12                            
51                             -3003                          600                            12                            
52                             -7190                          1300                           12                            
53                             -7398                          1200                           12                            
54                             7139                           800                            12                            
55                             -7284                          400                            12                            
56                             -44                            1100                           12                            
57                             -9220                          700                            12                            
58                             1895                           1000                           12                            
59                             -9266                          600                            12                            
60                             576                            1000                           12                            
61                             -1893                          1100                           12                            
62                             -2252                          1600                           12                            
63                             -7149                          1200                           12                            
64                             -9475                          1200                           12                            
65                             5317                           900                            12                            
66                             -9952                          1400                           12                            
67                             -3273                          600                            12                            
68                             -6850                          800                            12                            
69                             -6509                          900                            12                            
70                             -9342                          1300                           12                            
71                             -5050                          1200                           12                            
72                             -5027                          700                            12                            
73                             -4446                          1500                           12                            
74                             -119                           1400                           12                            
75                             4219                           1300                           12                            
76                             -1750                          8900                           12                            
77                             -3284                          1000                           12                            
78                             -5226                          1100                           12                            
79                             -89                            800                            12                            
80                             -3333                          700                            12                            
81                             4412                           1000                           12                            
82                             -9228                          700                            12                            
83                             -4744                          900                            12                            
84                             -1116                          700                            12                            
85                             5492                           600                            12                            
86                             9219                           500                            12                            
87                             -3755                          900                            12                            
88                             1742                           800                            12                            
89                             5220                           600                            12                            
90                             6789                           500                            12                            
91                             -9551                          700                            12                            
92                             -2265                          1000                           12                            
93                             8951                           600                            12                            
94                             3343                           600                            12                            
95                             8950                           200                            12                            
96                             8490                           800                            12                            
97                             4127                           1100                           12                            
98                             -7507                          1300                           12                            
99                             -5129                          700                            12                            
100                            2456                           500                            12                            
Среднее время поиска: 2401 наносекунд
Среднее количество итераций при поиске: 12 итераций
